title,author,isbn,publication_year,rating,reviews,genres,page_count,language,publisher
An Qs6b9k,Ggeudz Nokocemv,978-1180181826,1992,1.5,2496,"['Non-Fiction', 'History', 'Romance']",943,Chinese,Publisher 50
An Tigixo,Phjdby Cmpasj,978-9936202070,1924,4.4,1580,"['Biography', 'Thriller']",979,French,Publisher 21
A Jqizbk,Quvgf Swqrb,978-2033623924,2014,4.4,2466,['Fiction'],939,Spanish,Publisher 33
A Xfjrp9,Npdgteqv Rkzceu,978-5697418065,1931,4.7,2424,"['Non-Fiction', 'Thriller']",522,French,Publisher 21
A Etipab,Wbdhnx Pwyotah,978-2333106383,1967,1.7,802,"['Science Fiction', 'Non-Fiction', 'Fiction']",343,French,Publisher 35
The Sbltkg,Idkszhd Rkzvuj,978-1405605778,1933,4.0,224,"['Mystery', 'Fantasy', 'Biography']",729,German,Publisher 1
A Icfu3j,Njwscnz Fxkvpx,978-5760604319,2002,3.1,2485,"['Science Fiction', 'Thriller', 'History']",879,Spanish,Publisher 32
A Eoxmik,Wowxub Fvyqbay,978-7804003388,1920,1.1,4516,"['Classics', 'Biography']",403,Chinese,Publisher 7
The Ynnell,Dmrydz Xlnyk,978-8974000038,2002,1.1,1033,"['Biography', 'Thriller']",507,French,Publisher 27
A Sy4toi,Qqhxznl Umbwknp,978-8716156232,1925,4.8,2686,"['Thriller', 'Science Fiction', 'Fiction']",300,Spanish,Publisher 1
A Znwmvn,Zaemafd Khsbbu,978-7451926287,1989,3.4,3685,"['Thriller', 'History']",363,Chinese,Publisher 40
The 5pnzgw,Qllik Lqmpc,978-5201650369,1921,1.2,1070,['History'],130,Spanish,Publisher 33
An Flbenj,Nkkjul Gicbwna,978-3424541259,1990,2.1,2142,"['Biography', 'Fantasy']",526,French,Publisher 14
The Sfbaog,Apalu Qorac,978-7487116052,2015,3.2,96,"['Thriller', 'Classics']",846,English,Publisher 29
An Nittro,Ecykczj Ltcds,978-3874326899,2024,5.0,1620,"['Classics', 'Science Fiction']",811,French,Publisher 4
My Jbhlt8,Pyrae Pnamdlrd,978-7367054409,1967,2.2,1097,"['Romance', 'Science Fiction', 'Thriller']",758,English,Publisher 34
A Sggvqu,Pjzcrk Fnbixdw,978-5000790714,2023,2.3,3746,"['Mystery', 'Non-Fiction']",388,French,Publisher 44
The Mfzx1i,Oyfguz Jikrng,978-3097430805,1967,3.9,1784,"['Thriller', 'Mystery', 'Science Fiction']",626,Chinese,Publisher 47
The Rhpqyg,Qwosmqdc Mmnsd,978-6171646095,1983,2.0,1513,"['Biography', 'Non-Fiction', 'History']",338,Spanish,Publisher 34
A 8bup8x,Oybwux Xunsckhf,978-2323038100,1993,1.9,1917,"['Fiction', 'Biography']",207,English,Publisher 28
The Sgpork,Cracg Tkvyhk,978-7637122582,1994,1.9,4927,['Classics'],627,Spanish,Publisher 33
The Bimdn5,Mrqgxr Dhkwfojx,978-6274258193,2024,2.2,308,"['Fantasy', 'Romance']",428,Chinese,Publisher 9
A Xaqw96,Czgqwsm Ppiegzp,978-7017825629,1938,3.9,1250,"['Romance', 'History', 'Non-Fiction']",847,Spanish,Publisher 23
An Cc4syw,Egqsxuw Myxdn,978-7136519014,1941,1.3,3417,"['Classics', 'Mystery', 'Fantasy']",751,French,Publisher 23
My B6kh2x,Ydcxhxik Jjoztpl,978-8347860212,1988,3.1,3086,"['Mystery', 'Romance', 'Fiction']",312,French,Publisher 34
An P1rktt,Futkdava Itftzaq,978-2078108731,1946,3.7,2677,"['Romance', 'Mystery']",655,Chinese,Publisher 42
The Pccqp5,Eahswbj Swmftno,978-1673036688,1955,3.2,3773,['Romance'],385,French,Publisher 39
My Hztmax,Lsnov Cwrkhodh,978-1678172288,1902,2.8,3462,['Fantasy'],51,English,Publisher 24
An C1u1s0,Pxusu Uvsxlh,978-3344322362,1947,1.4,4941,"['History', 'Classics', 'Biography']",76,Spanish,Publisher 12
